exp_id,Temp,Press,Solvent,Time,conversion (%),ee (%),Comp._1,Comp._2,Comp._3,Comp._4,Comp._5,Mol. wt._1,Mol. wt._2,Mol. wt._3,Mol. wt._4,Mol. wt._5,mols_1,mols_2,mols_3,mols_4,mols_5,Eq. wt._1,Eq. wt._2,Eq. wt._3,Eq. wt._4,Eq. wt._5,Wt. taken_1,Wt. taken_2,Wt. taken_3,Wt. taken_4,Wt. taken_5
KK-196,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0010 mmol,0.0010 mmol,0.0100 mmol,--,200 ,1 ,1.05 ,10 ,--,86 mg ,0.5 mg ,0.4 mg ,0.5 mg ,--
KK-197,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.4271 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,200 ,1 ,1.05 ,5 ,--,173 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-198,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,--,--,100 ,1 ,1.2 ,--,--,86 mg ,1 mg ,1.1 mg ,--,--
KK-199,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,0.0021 mmol,--,100 ,1 ,1.2 ,1 ,--,86 mg ,1 mg ,1.1 mg ,0.1 mg ,--
KK-200,70°C,30 bar,methanol, 18 hrs,18%,76%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,0.0106 mmol,--,100 ,1 ,1.2 ,5 ,--,86 mg ,1 mg ,1.1 mg ,0.6 mg ,--
KK-201,70°C,30 bar,methanol, 18 hrs,100%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.66 ,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,0.0106 mmol,--,100 ,1 ,1.2 ,5 ,--,86 mg ,1 mg ,1.1 mg ,1.02 mg ,--
KK-202,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-203,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-204,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-205,70°C,30 bar,methanol, 48 hrs,03%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,0.0106 mmol,--,100 ,1 ,1.2 ,5 ,--,86 mg ,1 mg ,1.1 mg ,0.6 mg ,--
KK-206,70°C,30 bar,methanol, 48 hrs,100%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.66 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,1.02 mg ,--
KK-207,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-208,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-209,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-210,70°C,30 bar,methanol, 48 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.66 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,1.02 mg ,--
KK-211,70°C,30 bar,methanol, 40 hrs,98%,10%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-212,70°C,30 bar,methanol, 40 hrs,58%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-213,70°C,30 bar,methanol, 40 hrs,72%,23%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Acetic acid ,--,405.30 ,468.30 ,414.29 ,60.05 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-214,70°C,30 bar,methanol, 40 hrs,73%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Phosphoric acid ,--,405.30 ,468.30 ,414.29 ,97.66 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0106 mmol,--,100 ,1 ,1.05 ,5 ,--,86 mg ,1 mg ,0.9 mg ,1 mg ,--
KK-215,70°C,30 bar,methanol, 18 hrs,70%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-216,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-217,70°C,30 bar,methanol, 18 hrs,70%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-218,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-219,70°C,30 bar,methanol, 24 hrs,50%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-220,70°C,30 bar,methanol, 24 hrs,45%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-221,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,--,--,100 ,1 ,1.05 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-222,70°C,30 bar,methanol, 13 hrs,20%,86%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0026 mmol,--,--,100 ,1 ,1.25 ,--,--,86 mg ,1 mg ,1.1 mg ,--,--
KK-223,70°C,30 bar,methanol, 13 hrs,65%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0032 mmol,--,--,100 ,1 ,1.5 ,--,--,86 mg ,1 mg ,1.3 mg ,--,--
KK-224,70°C,30 bar,methanol, 13 hrs,45%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,--,--,100 ,1 ,2 ,--,--,86 mg ,1 mg ,1.7 mg ,--,--
KK-225,70°C,30 bar,methanol, 13 hrs,61%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0052 mmol,--,--,100 ,1 ,2.5 ,--,--,86 mg ,1 mg ,2.2 mg ,--,--
KK-226,70°C,30 bar,methanol, 18 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.4270 mmol,0.0021 mmol,0.0022 mmol,--,--,200 ,1 ,1.05 ,--,--,173 mg ,1 mg ,0.9 mg ,--,--
KK-227,70°C,30 bar,methanol, 18 hrs,74%,81%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.1386 mmol,0.0021 mmol,0.0022 mmol,--,--,66 ,1 ,1.05 ,--,--,57 mg ,1 mg ,0.9 mg ,--,--
KK-228,70°C,30 bar,methanol, 12 hrs,14%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.1067 mmol,0.0021 mmol,0.0021 mmol,--,--,50 ,1 ,1 ,--,--,43 mg ,1 mg ,0.9 mg ,--,--
KK-229,70°C,30 bar,methanol, 12 hrs,51%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.1067 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,50 ,1 ,1 ,1 ,--,43 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-230,50°C,30 bar,methanol, 12 hrs,14%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.1067 mmol,0.0021 mmol,0.0021 mmol,--,--,50 ,1 ,1 ,--,--,43 mg ,1 mg ,0.9 mg ,--,--
KK-231,50°C,30 bar,methanol, 12 hrs,06%,81%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.1067 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,50 ,1 ,1 ,1 ,--,43 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-232,70°C,30 bar,methanol, 18 hrs,74%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,--,--,50 ,1 ,1 ,--,--,86 mg ,2 mg ,1.8 mg ,--,--
KK-233,70°C,30 bar,methanol, 18 hrs,89%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,0.0042 mmol,--,50 ,1 ,1 ,1 ,--,86 mg ,2 mg ,1.8 mg ,0.2 mg ,--
KK-234,50°C,30 bar,methanol, 70 hrs,46%,79%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,--,--,50 ,1 ,1 ,--,--,86 mg ,2 mg ,1.8 mg ,--,--
KK-235,50°C,30 bar,methanol, 70 hrs,46%,79%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,0.0042 mmol,--,50 ,1 ,1 ,1 ,--,86 mg ,2 mg ,1.8 mg ,0.2 mg ,--
KK-236,70°C,30 bar,methanol, 18 hrs,91%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,--,--,50 ,1 ,1 ,--,--,86 mg ,2 mg ,1.8 mg ,--,--
KK-237,70°C,30 bar,methanol, 24 hrs,58%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,--,--,50 ,1 ,1 ,--,--,86 mg ,2 mg ,1.8 mg ,--,--
KK-238,70°C,30 bar,methanol, 24 hrs,92%,81%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0084 mmol,--,--,50 ,1 ,2 ,--,--,86 mg ,2 mg ,3.5 mg ,--,--
KK-239,70°C,30 bar,methanol, 24 hrs,26%,89%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0168 mmol,--,--,50 ,1 ,4 ,--,--,86 mg ,2 mg ,7 mg ,--,--
KK-240,70°C,30 bar,methanol, 24 hrs,13%,85%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,0.0042 mmol,--,50 ,1 ,1 ,1 ,--,86 mg ,2 mg ,1.8 mg ,0.2 mg ,--
KK-241,70°C,30 bar,methanol, 24 hrs,89%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0084 mmol,0.0042 mmol,--,50 ,1 ,2 ,1 ,--,86 mg ,2 mg ,3.5 mg ,0.2 mg ,--
KK-242,70°C,30 bar,methanol, 24 hrs,02%,92%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0168 mmol,0.0042 mmol,--,50 ,1 ,4 ,1 ,--,86 mg ,2 mg ,7 mg ,0.2 mg ,--
KK-243,50°C,30 bar,methanol, 24 hrs,06%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,--,--,50 ,1 ,1 ,--,--,86 mg ,2 mg ,1.8 mg ,--,--
KK-244,50°C,30 bar,methanol, 24 hrs,04%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0084 mmol,--,--,50 ,1 ,2 ,--,--,86 mg ,2 mg ,3.5 mg ,--,--
KK-245,50°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0042 mmol,0.0168 mmol,--,--,50 ,1 ,4 ,--,--,86 mg ,2 mg ,7 mg ,--,--
KK-246,50°C,30 bar,methanol, 24 hrs,07%,81%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0042 mmol,0.0042 mmol,--,50 ,1 ,1 ,1 ,--,86 mg ,2 mg ,1.8 mg ,0.2 mg ,--
KK-247,50°C,30 bar,methanol, 24 hrs,26%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0084 mmol,0.0042 mmol,--,50 ,1 ,2 ,1 ,--,86 mg ,2 mg ,3.5 mg ,0.2 mg ,--
KK-248,50°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0042 mmol,0.0168 mmol,0.0042 mmol,--,50 ,1 ,4 ,1 ,--,86 mg ,2 mg ,7 mg ,0.2 mg ,--
KK-249,70°C,30 bar,methanol, 24 hrs,94%,18%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,0.2135 mmol,--,100 ,1 ,2 ,100 ,--,86 mg ,1 mg ,1.8 mg ,29.5 mg ,--
KK-250,70°C,30 bar,methanol, 24 hrs,13%,74%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,Ammonium chloride ,405.30 ,468.30 ,414.29 ,138.12 ,53.49 ,0.2135 mmol,0.0021 mmol,0.0042 mmol,0.2135 mmol,0.2135 mmol,100 ,1 ,2 ,100 ,100 ,86 mg ,1 mg ,1.8 mg ,29.5 mg ,11.4 mg 
KK-251,70°C,30 bar,methanol, 24 hrs,92%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,0.2135 mmol,--,100 ,1 ,2 ,100 ,--,86 mg ,1 mg ,1.8 mg ,29.5 mg ,--
KK-252,70°C,30 bar,methanol, 24 hrs,45%,02%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,--,--,100 ,1 ,2 ,--,--,86 mg ,1 mg ,1.8 mg ,--,--
KK-253,70°C,30 bar,methanol, 24 hrs,09%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,100 ,1 ,1 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-254,70°C,30 bar,methanol, 18 hrs,100%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2837 mmol,0.0028 mmol,0.0028 mmol,0.0028 mmol,--,1 ,0.01 ,0.01 ,0.01 ,--,115 mg ,1.3 mg ,1.2 mg ,0.2 mg ,--
KK-255,70°C,30 bar,methanol, 18 hrs,50%,91%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.1050 mmol,--,100 ,1 ,1 ,50 ,--,86 mg ,1 mg ,0.9 mg ,14.5 mg ,--
KK-256,70°C,30 bar,methanol, 18 hrs,86%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.3202 mmol,--,100 ,1 ,1 ,150 ,--,86 mg ,1 mg ,0.9 mg ,44.2 mg ,--
KK-257,70°C,30 bar,methanol, 18 hrs,82%,82%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.4270 mmol,--,100 ,1 ,1 ,200 ,--,86 mg ,1 mg ,0.9 mg ,58 mg ,--
KK-258,90°C,30 bar,amyl alcohol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,--,--,100 ,1 ,1 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-259,90°C,30 bar,amyl alcohol, 24 hrs,03%,80%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium chloride ,--,405.30 ,468.30 ,414.29 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,100 ,1 ,1 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.1 mg ,--
KK-260,90°C,30 bar,amyl alcohol, 24 hrs,92%,88%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Salicylic acid ,--,405.30 ,468.30 ,414.29 ,138.12 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.2135 mmol,--,100 ,1 ,1 ,100 ,--,86 mg ,1 mg ,0.9 mg ,29.4 mg ,--
KK-261,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,--,405.30 ,468.30 ,414.29 ,141.93 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,--,100 ,1 ,1 ,1 ,--,86 mg ,1 mg ,0.9 mg ,0.3 mg ,--
KK-262,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,Ammonium chloride ,405.30 ,468.30 ,414.29 ,141.93 ,53.49 ,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,100 ,1 ,1 ,1 ,1 ,86 mg ,1 mg ,0.9 mg ,0.3 mg ,0.1 mg 
KK-263,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,Salicylic acid ,405.30 ,468.30 ,414.29 ,141.93 ,138.12 ,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0021 mmol,0.2135 mmol,100 ,1 ,1 ,1 ,100 ,86 mg ,1 mg ,0.9 mg ,0.3 mg ,29.4 mg 
KK-264,70°C,30 bar,methanol, 24 hrs,04%,84%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,--,405.30 ,468.30 ,414.29 ,141.93 ,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0042 mmol,--,100 ,1 ,1 ,2 ,--,86 mg ,1 mg ,0.9 mg ,0.6 mg ,--
KK-265,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,Ammonium chloride ,405.30 ,468.30 ,414.29 ,141.93 ,53.49 ,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0042 mmol,0.0021 mmol,100 ,1 ,1 ,2 ,1 ,86 mg ,1 mg ,0.9 mg ,0.6 mg ,0.1 mg 
KK-266,70°C,30 bar,methanol, 24 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,BF3∙Et2O ,Salicylic acid ,405.30 ,468.30 ,414.29 ,141.93 ,138.12 ,0.2135 mmol,0.0021 mmol,0.0021 mmol,0.0042 mmol,0.2135 mmol,100 ,1 ,1 ,2 ,100 ,86 mg ,1 mg ,0.9 mg ,0.6 mg ,29.4 mg 
KK-267,70°C,30 bar,TFE, 20 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0021 mmol,--,--,100 ,1 ,1 ,--,--,86 mg ,1 mg ,0.9 mg ,--,--
KK-268,70°C,30 bar,TFE, 20 hrs,92%,15%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0032 mmol,--,--,100 ,1 ,1.5 ,--,--,86 mg ,1 mg ,1.3 mg ,--,--
KK-269,70°C,30 bar,TFE, 20 hrs,49%,15%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,--,--,100 ,1 ,2 ,--,--,86 mg ,1 mg ,1.8 mg ,--,--
KK-270,70°C,30 bar,Methanol, 24 hrs,40%,83%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,Ammonium salicylate ,--,405.30 ,468.30 ,414.29 ,155.15 ,--,0.2135 mmol,0.0021 mmol,0.0042 mmol,0.2135 mmol,--,100 ,1 ,2 ,100 ,--,86 mg ,1 mg ,1.8 mg ,33.4 mg ,--
KK-271,70°C,30 bar,MeOH:TFE (90:10), 24 hrs,30%,88%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,L3 ,--,--,405.30 ,468.30 ,414.29 ,--,--,0.2135 mmol,0.0021 mmol,0.0032 mmol,--,--,100 ,1 ,1.5 ,--,--,86 mg ,1 mg ,1.3 mg ,--,--
