COMPOUND_ID	BIOACTIVITY_IN_BRIEF
CMNPD13313	moderate to significant activity against three unidentified strains of marine bacteria | strong growth inhibitory effects on the fouling microalga Phaeodactylum tricornutum
CMNPD13314	moderate to significant activity against three unidentified strains of marine bacteria | strong growth inhibitory effects on the fouling microalga Phaeodactylum tricornutum
CMNPD13315	moderate to significant activity against three unidentified strains of marine bacteria | strong growth inhibitory effects on the fouling microalga Phaeodactylum tricornutum
CMNPD13316	moderate to significant activity against three unidentified strains of marine bacteria | strong growth inhibitory effects on the fouling microalga Phaeodactylum tricornutum
CMNPD13317	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13318	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13319	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13320	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13321	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13322	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13323	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13324	potent radical-scavenging effects in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems | moderately cytotoxic against several carcinoma cell lines
CMNPD13325	significantly less active in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems
CMNPD13326	significantly less active in test for antioxidative properties in the α,α-diphenyl-β-picrylhydrazyl radical (DPPH) and thiobarbituric acid reactive substances (TBARS) assay systems
CMNPD13327	moderate cytotoxicity against the murine cancer cell line KA3IT | reduce cytotoxicity against normal NIH3T3 cells
CMNPD13328	moderate cytotoxicity against the murine cancer cell line KA3IT | reduce cytotoxicity against normal NIH3T3 cells
CMNPD13329	moderate cytotoxicity against the murine cancer cell line KA3IT | reduce cytotoxicity against normal NIH3T3 cells
CMNPD13330	moderate cytotoxicity against the murine cancer cell line KA3IT | reduce cytotoxicity against normal NIH3T3 cells
CMNPD13348	potent and highly specific activity against the marine filamentous fungi Dendryphiella salina and Lindra thalassiae | potent activity against C. albicans | antineoplastic activity against the HCT-116 cell line
CMNPD13351	potent DPPH radical scavenging activity
CMNPD13357	active against D6 and W2 clones of the malaria parasite Plasmodium falciparum
CMNPD13362	significant cytotoxicity against HeLa and A431 cell lines
CMNPD13363	moderately active against all cell lines
CMNPD13365	significant cytotoxicity against the human tumour cell lines MCF7, PC3, HeLa, A431 and K562
CMNPD13366	significant cytotoxicity against the human tumour cell lines MCF7, PC3, HeLa, A431 and K562
CMNPD13376	moderate activity against five strains of bacteria
CMNPD13385	cytotoxic
CMNPD13387	cytotoxic
CMNPD13388	cytotoxic
CMNPD13389	inhibit DNA polymerases α and γ
CMNPD13390	anti-feedant activity against goldfish
CMNPD13391	anti-feedant activity against goldfish
CMNPD13392	inhibitor of membrane type 1 matrix metalloproteinase (MT1-MMP)
CMNPD13393	marginal to moderate toxicity to five human tumour cell lines
CMNPD13394	marginal to moderate toxicity to five human tumour cell lines
CMNPD13395	marginal to moderate toxicity to five human tumour cell lines
CMNPD13396	marginal to moderate toxicity to five human tumour cell lines
CMNPD13397	mildly cytotoxic
CMNPD13403	mildly cytotoxic to human leukemia cells
CMNPD13404	mildly cytotoxic to human leukemia cells
CMNPD13405	toxic in the brine shrimp assay | active against HeLa
CMNPD13417	moderately cytotoxic
CMNPD13418	antifungal
CMNPD13419	antifungal
CMNPD13420	antifungal
CMNPD13421	antifungal
CMNPD13422	mildly cytotoxic
CMNPD13423	cytotoxic against a range of human tumour cell lines
CMNPD13424	cytotoxic against a range of human tumour cell lines
CMNPD13425	cytotoxic against a range of human tumour cell lines
CMNPD13426	antimicrobial
CMNPD13427	antimicrobial
CMNPD13428	antimicrobial
CMNPD13429	antimicrobial
CMNPD13430	antimicrobial
CMNPD13431	antimicrobial
CMNPD13432	antimicrobial
CMNPD13433	antimicrobial
CMNPD13434	antimicrobial
CMNPD13435	antimicrobial
CMNPD13436	antimicrobial
CMNPD13437	antimicrobial
CMNPD13438	antimicrobial
CMNPD13439	potent cytotoxicity to an array of human tumour cell lines
CMNPD13440	potent cytotoxicity to an array of human tumour cell lines
CMNPD13445	potent G2 checkpoint inhibitor and highly cytotoxic
CMNPD13446	potent G2 checkpoint inhibitor and highly cytotoxic
CMNPD13447	cytotoxic | inhibitor of tubulin polymerisation
CMNPD13448	cytotoxic to P388 murine leukemia cells
CMNPD13449	cytotoxic to P388 murine leukemia cells
CMNPD13450	cytotoxic to P388 murine leukemia cells
CMNPD13451	inhibit the settlement of larvae of the blue mussel (Mytilus edulis galloprovincialis)
CMNPD13456	growth inhibitory
CMNPD13457	very cytotoxic
CMNPD13461	N-Methyl-D-aspartate (NMDA) receptor ligand
CMNPD13476	inducer of neuronal differentiation
CMNPD13477	antimicrobial
CMNPD13478	antimicrobial
CMNPD13479	antimicrobial
CMNPD13480	antimicrobial
CMNPD13481	antimicrobial
CMNPD13484	inhibit telomerase activity
CMNPD13485	inhibit telomerase activity
CMNPD13486	inhibit telomerase activity
CMNPD13487	inhibit telomerase activity
CMNPD13488	inhibit telomerase activity
CMNPD13489	mildly antimicrobial
CMNPD13490	mildly antimicrobial
CMNPD13494	MT1-MMP inhibitor
CMNPD13497	geranylgeranyltransferase type I inhibitor
CMNPD13498	potent inhibitor of HIV-1 envelope-mediated fusion
CMNPD13499	weak inhibitor of HIV-1 envelope-mediated fusion
CMNPD13500	antibacterial
CMNPD13501	antimitotic
CMNPD13502	antimitotic
CMNPD13510	potent protein kinase inhibitor
CMNPD13515	cytotoxic
CMNPD13520	moderately cytotoxic to murine Ehrlich carcinoma cells
CMNPD13524	inhibit the settling of the cyprid (barnacle) larvae Balanus ainphitrite
CMNPD13528	mildly cytotoxic
CMNPD13532	cytotoxic
CMNPD13533	cytotoxic
CMNPD13534	cytotoxic
CMNPD13542	moderately cytotoxic
CMNPD13543	moderately cytotoxic
CMNPD13544	moderately cytotoxic
CMNPD13545	moderately cytotoxic
CMNPD13546	moderately cytotoxic
CMNPD13547	inhibit the cell division of sea urchin eggs | not cytotoxic to human leukemia cells
CMNPD13548	inhibit the cell division of sea urchin eggs | not cytotoxic to human leukemia cells
CMNPD13549	inhibit the cell division of sea urchin eggs | not cytotoxic to human leukemia cells
CMNPD13557	proteasome inhibitor
CMNPD13558	proteasome inhibitor
CMNPD13559	proteasome inhibitor
CMNPD13560	proteasome inhibitor
CMNPD13561	proteasome inhibitor
CMNPD13562	proteasome inhibitor
CMNPD13563	proteasome inhibitor
CMNPD13564	inhibit the production of superoxide from human neutrophils
CMNPD13565	bind to P2Y12 receptors
CMNPD13567	inhibitor of the fertilisation of sea urchin eggs
CMNPD13568	inhibitor of the fertilisation of sea urchin eggs
CMNPD13569	inhibitor of the fertilisation of sea urchin eggs
CMNPD13570	inhibitor of the fertilisation of sea urchin eggs
CMNPD13571	inhibitor of the fertilisation of sea urchin eggs
CMNPD13572	inhibitor of the fertilisation of sea urchin eggs
CMNPD13573	inhibitor of the fertilisation of sea urchin eggs
CMNPD13574	inhibitor of the fertilisation of sea urchin eggs
CMNPD13575	significantly cytotoxic
CMNPD13576	significantly cytotoxic
CMNPD13577	significantly cytotoxic
CMNPD13578	significantly cytotoxic
CMNPD13579	cytotoxic to murine P388 leukemia cells
CMNPD13580	mildly cytotoxic
CMNPD13581	mildly cytotoxic
CMNPD13583	antimicrobial
CMNPD13584	antimicrobial
CMNPD13585	antimicrobial
CMNPD13586	potently cytotoxic towards A431 cells
CMNPD13587	potently cytotoxic towards A431 cells | potent inhibitor of plant vacuolar H+-pyrophosphatase
CMNPD13588	potently cytotoxic towards A431 cells | potent inhibitor of plant vacuolar H+-pyrophosphatase
CMNPD13593	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13594	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13595	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13596	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13597	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13598	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13599	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13600	biological activity towards bacteria, brine shrimp, sea urchin egg development and crown gall potato tumours
CMNPD13619	activity in a number of ecologically-relevant assays, including antibiotic and feeding deterrence properties
CMNPD13637	modest cytotoxicity towards a panel of tumour cell lines
CMNPD13639	arrest the cell cycle at G2/M
CMNPD13640	arrest the cell cycle at G2/M
CMNPD13641	cytotoxic
CMNPD13642	modest cytotoxicity towards two tumour cell lines
CMNPD13645	mild cytotoxicity towards two tumour cell lines
CMNPD13646	modest cytotoxicity towards two tumour cell lines
CMNPD13651	mild cytotoxicity towards human tumour cell lines
CMNPD13652	selective cytotoxicity towards the KB cell line
CMNPD13653	selective cytotoxicity towards the KB cell line
CMNPD13654	selective towards the Hepa cell line
CMNPD13655	selective cytotoxicity towards the KB cell line
CMNPD13658	P388 cell line growth inhibition
CMNPD13664	potently cytotoxic
CMNPD13670	Antimalarial against Plasmodium falciparum
CMNPD13675	Antimalarial against Plasmodium falciparum
CMNPD13676	Antimalarial against Plasmodium falciparum
CMNPD13689	mild cytotoxicity towards Hepa and KB cell lines
CMNPD13699	cytotoxicity towards Vero and MDCK cell lines
CMNPD13700	cytotoxicity towards Vero and MDCK cell lines
CMNPD13701	cytotoxicity towards Vero and MDCK cell lines
CMNPD13702	cytotoxicity towards Vero and MDCK cell lines
CMNPD13703	cytotoxicity towards Vero and MDCK cell lines
CMNPD13704	cytotoxicity towards Vero and MDCK cell lines
CMNPD13716	cytotoxic against P388D1 cells
CMNPD13718	cytotoxicity towards a panel of human tumour cell lines
CMNPD13719	cytotoxicity towards a panel of human tumour cell lines
CMNPD13726	weak antifungal activity
CMNPD13727	weak antifungal activity
CMNPD13728	weak antifungal activity
CMNPD13729	weak antifungal activity | weakly inhibit tyrosine kinase p56lck
CMNPD13730	weak antifungal activity | weakly inhibit tyrosine kinase p56lck
CMNPD13732	mildly cytotoxic
CMNPD13733	weakly cytotoxic
CMNPD13734	weakly cytotoxic
CMNPD13736	potent antimicrobial and antitumour activity in vitro
CMNPD13737	potent antimicrobial and antitumour activity in vitro
CMNPD13751	channel-gating antagonist of voltage-gated potassium channels
CMNPD13752	potent inhibitors of glycogen synthase kinase-3 (GSK-3)
CMNPD13753	potent inhibitors of glycogen synthase kinase-3 (GSK-3)
CMNPD13768	mildly cytotoxic
CMNPD13769	mildly cytotoxic
CMNPD13774	moderately cytotoxic
CMNPD13775	moderately cytotoxic
CMNPD13776	moderately cytotoxic
CMNPD13777	antitumour agent
CMNPD13779	modest cytotoxicity towards a panel of tumour cell lines
CMNPD13780	modest cytotoxicity towards a panel of tumour cell lines
CMNPD13781	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13782	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13783	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13784	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13785	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13786	weak to moderate activity towards the HCT-116 tumour cell line
CMNPD13787	antifungal
CMNPD13789	histamine antagonist
CMNPD13791	mild cytotoxicity against LOVO-DOX colon carcinoma (with a GI50 value of 0.9 g/mL)
CMNPD13793	cytotoxicity towards a rat glioma cell line
CMNPD13794	cytotoxicity towards a rat glioma cell line
CMNPD13796	mildly cytotoxic
CMNPD13797	mildly cytotoxic
CMNPD13798	mildly cytotoxic towards the L1210 murine leukemia cell line
CMNPD13799	mildly cytotoxic towards the L1210 murine leukemia cell line
CMNPD13800	mildly cytotoxic towards the L1210 murine leukemia cell line
CMNPD13801	not cytotoxic towards A431 and wild-type and p53 deficient HCT-116 human tumour cell lines
CMNPD13804	extraordinarily potent cytotoxic enediyne antibiotics
CMNPD13805	extraordinarily potent cytotoxic enediyne antibiotics
CMNPD13806	extraordinarily potent cytotoxic enediyne antibiotics
CMNPD13809	potent inhibitor of microtubule assembly
CMNPD13810	cytotoxic
CMNPD13811	cytotoxic
CMNPD13820	neuritogenic activity against PC12 cells in the presence of nerve growth factor
CMNPD13821	neuritogenic activity against PC12 cells in the presence of nerve growth factor
CMNPD13822	neuritogenic activity against PC12 cells in the presence of nerve growth factor
CMNPD13823	neuritogenic activity
CMNPD13824	neuritogenic activity
CMNPD13825	neuritogenic activity
CMNPD13826	neuritogenic activity
CMNPD13827	neuritogenic activity
CMNPD13828	neuritogenic activity
CMNPD13829	neuritogenic activity
CMNPD13830	neuritogenic activity
CMNPD13831	neuritogenic activity
CMNPD13832	neuritogenic activity
CMNPD13833	neuritogenic activity
CMNPD13834	neuritogenic activity
CMNPD13835	neuritogenic activity
CMNPD13836	neuritogenic activity
CMNPD13837	neuritogenic activity
CMNPD13838	neuritogenic activity
CMNPD13839	neuritogenic activity
CMNPD13840	neuritogenic activity
CMNPD13841	neuritogenic activity
CMNPD13842	neuritogenic activity
CMNPD13843	neuritogenic activity
CMNPD13844	neuritogenic activity
CMNPD13845	neuritogenic activity
CMNPD13846	neuritogenic activity
CMNPD13847	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13848	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13849	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13850	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13851	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13852	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13853	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13854	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13855	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13856	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13857	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13858	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13860	modest in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13866	varied biological activity towards a range of tumour cell lines and bacteria
CMNPD13867	varied biological activity towards a range of tumour cell lines and bacteria
CMNPD13868	varied biological activity towards a range of tumour cell lines and bacteria
CMNPD13869	varied biological activity towards a range of tumour cell lines and bacteria
CMNPD13870	mildly inhibit division of fertilised sea urchin eggs
CMNPD13871	mildly inhibit division of fertilised sea urchin eggs
CMNPD13872	in vitro cytotoxicity towards a panel of human tumour cell lines | in vivo activity towards Lewis lung and mouse S180 sarcoma tumour models
CMNPD13873	in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13874	in vitro cytotoxicity towards a panel of human tumour cell lines
CMNPD13881	mildly cytotoxic
CMNPD13882	mildly cytotoxic
CMNPD13886	modest antimicrobial activity against selected Gram-positive bacteria
CMNPD13888	antitumour | antiplasmodial
CMNPD13893	moderate activity against human tumour cell lines
CMNPD13894	moderate phytotoxicity and concentration-dependent inhibition of human cancer cell lines | low general cytotoxicity
CMNPD13895	moderate phytotoxicity and concentration-dependent inhibition of human cancer cell lines | low general cytotoxicity
CMNPD13896	inhibite the growth of human colon tumour cells (HCT-116)
CMNPD13897	inhibite the growth of human colon tumour cells (HCT-116)
CMNPD13898	inhibite the growth of human colon tumour cells (HCT-116)
CMNPD13901	inhibitor of the pathway between chorismic and para-aminobenzoic acids | strongly active against Gram-positive bacteria
CMNPD13903	moderate activity against B. subtilis | Streptococcus viridochromogenes and Staphylococcus aureus
CMNPD13905	moderate activity against B. subtilis
CMNPD13906	moderate activity against B. subtilis
CMNPD13910	active against a range of tumour cell lines
CMNPD13915	modest cytotoxicity against L1210 and KB cell lines
CMNPD13916	moderate antiproliferative activity against several human leukemia cell lines and | active against brine shrimp
CMNPD13917	moderate antiproliferative activity against several human leukemia cell lines and | active against brine shrimp
CMNPD13918	induce neurite outgrowth in rat pheochromocytoma cells
CMNPD13920	cytotoxic against human cancer cell lines
CMNPD13924	strongly neuroprotective
CMNPD13929	moderate activities against the KB cell line
CMNPD13930	moderate activities against the KB cell line
CMNPD13933	moderately cytotoxic
CMNPD13934	moderately cytotoxic
CMNPD13935	moderately cytotoxic
CMNPD13936	moderately cytotoxic
CMNPD13937	cytotoxic
CMNPD13938	cytotoxic
CMNPD13939	cytotoxic
CMNPD13940	cytotoxic
CMNPD13945	significant cytotoxicity against P388 cells | moderately cytotoxic to 39 human tumour cell lines
CMNPD13946	significant cytotoxicity against P388 cells
CMNPD13949	moderately cytotoxic to 39 human tumour cell lines
CMNPD13950	cytotoxic against a neuroblastoma cell line
CMNPD13951	cytotoxic against a neuroblastoma cell line
CMNPD13952	modestly cytotoxic
CMNPD13953	modestly cytotoxic
CMNPD13954	modestly cytotoxic
CMNPD13955	modestly cytotoxic
CMNPD13956	inhibitor of adhesion of human leukaemia HL-61 cells to human umbilical vein endothelial cells (HUVEC)
CMNPD13958	potent inhibitors of the adhesion of HL-60 cells to HUVEC
CMNPD13959	potent inhibitors of the adhesion of HL-60 cells to HUVEC
CMNPD13960	cytotoxic towards a variety of cancer cell lines | with some selectivity for the CCRFCEM leukemia line
CMNPD13964	cytotoxic | moderately antifungal against a range of organisms | active against Micrococcus luteus
CMNPD13965	cytotoxic | active against Micrococcus luteus
CMNPD13966	moderate antimicrobial activity and | cytotoxic against sea urchin eggs
CMNPD13967	cytotoxic | sodium channel blocking | ichthyotoxic
CMNPD13968	cytotoxic | sodium channel blocking | ichthyotoxic
CMNPD13969	cytotoxic | sodium channel blocking | ichthyotoxic
CMNPD13975	relatively potent brine shrimp toxicity
CMNPD13976	relatively potent brine shrimp toxicity
CMNPD13980	relatively potent brine shrimp toxicity
CMNPD13981	cytotoxic
CMNPD13982	cytotoxic
CMNPD13983	inhibit osteoclastogenesis of the murine monocytic cell line RAW264 | potential for use as an antiresorptive for prevention and treatment of osteoporosis in postmenopausal women | inhibit cyclooxygenase-2 (COX-2) activity
CMNPD13987	potent cytotoxin
CMNPD13994	modestly cytotoxic against two human squamous cell carcinomas
CMNPD13996	potent thrombin inhibitor
CMNPD13998	potent antifungal activity against the marine algal pathogen Lindra thallasiae
CMNPD13999	potent antifungal activity against the marine algal pathogen Lindra thallasiae
CMNPD14000	inhibit glycation and α-amylase | have an effect on complications of diabetes
CMNPD14006	cytotoxic
CMNPD14007	cytotoxic
CMNPD14014	strong anti-HSV-1 activity in vitro | little inhibition of HIV-1 reverse transcriptase
CMNPD14027	moderately selective cytotoxicity
CMNPD14033	radical-scavenging activity | potent inhibitor of α-glucosidase and α-amylase | possible potential as a functional food or nutraceutical for diabetes
CMNPD14039	potent inhibitor of hypoxia-activated hypoxia-inducible factor-1 and of the angiogenic factor hypoxia-induced VEGF in T47D cells
CMNPD14040	antifeedant activity against the sea urchin Strongylocentrotus intermedius
CMNPD14041	antifeedant activity against the sea urchin Strongylocentrotus intermedius
CMNPD14043	activity at a similar level in a DNA methyltransferase enzyme inhibition assay
CMNPD14044	activity at a similar level in a DNA methyltransferase enzyme inhibition assay
CMNPD14045	activity at a similar level in a DNA methyltransferase enzyme inhibition assay
CMNPD14053	anthelmintic activity | antitumour activity against Ehrlich ascites carcinoma in vitro
CMNPD14098	inhibitor of bacterial proteases
CMNPD14099	α-glycosidase inhibitor
CMNPD14100	cytotoxic
CMNPD14101	cytotoxic
CMNPD14102	cytotoxic
CMNPD14103	cytotoxic
CMNPD14104	cytotoxic
CMNPD14105	cytotoxic
CMNPD14106	cytotoxic
CMNPD14107	cytotoxic
CMNPD14108	cytotoxic
CMNPD14109	cytotoxic
CMNPD14110	cytotoxic
CMNPD14111	inhibit HIF-1 activation in human breast tumour cells
CMNPD14114	weakly cytotoxic
CMNPD14115	weakly cytotoxic
CMNPD14116	weakly cytotoxic
CMNPD14117	moderately cytotoxic
CMNPD14119	potent nematocide
CMNPD14120	potent nematocide
CMNPD14121	potent nematocide
CMNPD14122	potent nematocide
CMNPD14124	inhibit inducible nitric oxide synthase activity
CMNPD14125	cytotoxic
CMNPD14126	cytotoxic
CMNPD14133	potent cytotoxin
CMNPD14135	potent inhibitor of protein phosphatase 2A
CMNPD14136	potent inhibitor of protein phosphatase 2A
CMNPD14137	potent inhibitor of protein phosphatase 2A
CMNPD14138	inhibitor of serine protease factor VIIa and thrombin
CMNPD14139	inhibitor of serine protease factor VIIa and thrombin
CMNPD14140	inhibitor of serine protease factor VIIa and thrombin
CMNPD14143	potent antimitotic
CMNPD14145	cytotoxic | antitubercular
CMNPD14146	cytotoxic | antitubercular
CMNPD14149	reverse P-glycoprotein-mediated multi-drug resistance in mammalian cells
CMNPD14150	potent cytoprotective activity against HIV-1
CMNPD14156	strongly inhibit growth of the murine P388 lymphocytic leukaemia
CMNPD14157	antiproliferative
CMNPD14158	antiproliferative
CMNPD14159	antiproliferative
CMNPD14160	antiproliferative
CMNPD14161	antiproliferative
CMNPD14163	potent cytotoxicity against various human carcinoma cells
CMNPD14164	inhibitory activity towards the assembly of microtubules
CMNPD14165	inhibitory activity towards the assembly of microtubules
CMNPD14169	moderately antifungal
CMNPD14174	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14175	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14176	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14177	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14178	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14179	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14180	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14181	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14182	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14183	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14184	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14185	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14186	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14187	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14188	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14189	antiplasmodial activity against chloroquine-resistant Plasmodium falciparum
CMNPD14193	inhibitor of histone deacetylase
CMNPD14194	inhibitor of histone deacetylase
CMNPD14195	inhibitor of histone deacetylase
CMNPD14196	cytotoxic
CMNPD14201	inhibit the growth of mammalian cells
CMNPD14202	inhibit the growth of mammalian cells
CMNPD14204	potent antiinflammatory | antifungal | anti-HIV-1 agent
CMNPD14205	potent antiinflammatory | antifungal | anti-HIV-1 agent
CMNPD14206	potent antiinflammatory | antifungal | anti-HIV-1 agent
CMNPD14207	significant antihistamine activity
CMNPD14208	significant antihistamine activity
CMNPD14209	significant antihistamine activity
CMNPD14210	weakly cytotoxic
CMNPD14211	antifouling
CMNPD14214	moderate cytotoxicity
CMNPD14223	moderately cytotoxic | inhibit division of fertilised sea urchin eggs
CMNPD14236	cytotoxic
CMNPD14240	cytotoxic activity
CMNPD14241	antibacterial activity against Enterococcus durans
CMNPD14243	strongly antifungal
CMNPD14250	active as human lipoxygenase inhibitor
CMNPD14251	active as human lipoxygenase inhibitor
CMNPD14252	antibacterial
CMNPD14253	antibacterial
CMNPD14254	antibacterial
CMNPD14255	antibacterial
CMNPD14256	antibacterial
CMNPD14257	antibacterial
CMNPD14258	antibacterial | inhibit protein phosphatase 2A activity
CMNPD14259	antibacterial
CMNPD14265	antibacterial
CMNPD14271	potent antagonist of the sarcoplasmic reticulum calcium channel RyR1-FKBP12
CMNPD14272	potent antagonist of the sarcoplasmic reticulum calcium channel RyR1-FKBP12
CMNPD14278	inactivator of human 15-lipoxygenase
CMNPD14279	inactivator of human 15-lipoxygenase
CMNPD14280	inactivator of human 15-lipoxygenase
CMNPD14281	inactivator of human 15-lipoxygenase
CMNPD14282	inactivator of human 15-lipoxygenase
CMNPD14283	inhibitor of MAPKAP kinase 2
CMNPD14284	inhibitor of MAPKAP kinase 2
CMNPD14285	anti-invasion
CMNPD14288	weakly antibacterial
CMNPD14289	weakly antibacterial
CMNPD14292	antimicrobial
CMNPD14293	antimicrobial
CMNPD14303	inhibit the lyase activity of DNA polymerase β
CMNPD14304	inhibit the lyase activity of DNA polymerase β
CMNPD14305	inhibit the lyase activity of DNA polymerase β
CMNPD14306	cytotoxic | nematocidal
CMNPD14307	inhibit bacterial folate biosynthesis
CMNPD14308	inhibit bacterial folate biosynthesis
CMNPD14320	weak cytotoxicity
CMNPD14321	weak cytotoxicity
CMNPD14322	weak cytotoxicity
CMNPD14323	weak cytotoxicity
CMNPD14324	weak cytotoxicity
CMNPD14325	cytotoxic
CMNPD14326	cytotoxic
CMNPD14327	cytotoxic
CMNPD14328	cytotoxic
CMNPD14329	cytotoxic | antimicrobial | phosphatase Cdc25B inhibitory activity
CMNPD14330	cytotoxic
CMNPD14331	cytotoxic
CMNPD14332	cytotoxic
CMNPD14338	potently antitubercular
CMNPD14339	moderately cytotoxic
CMNPD14340	moderately cytotoxic
CMNPD14341	moderately cytotoxic
CMNPD14342	moderately cytotoxic
CMNPD14343	moderately cytotoxic
CMNPD14348	cytotoxic
CMNPD14349	cytotoxic
CMNPD14352	potent HIV-1 reverse transcriptase inhibitory activity
CMNPD14362	cytotoxic
CMNPD14363	cytotoxic
CMNPD14364	cytotoxic
CMNPD14365	cytotoxic
CMNPD14366	moderately cytotoxic
CMNPD14367	moderately cytotoxic
CMNPD14368	moderately cytotoxic
CMNPD14369	moderately cytotoxic
CMNPD14370	potent cytotoxin
CMNPD14371	potently cytotoxic
CMNPD14372	potently cytotoxic
CMNPD14374	selectively active against a yeast strain defective in double stranded DNA repair
CMNPD14384	mildly antibacterial
CMNPD14385	mildly antibacterial
CMNPD14404	moderately cytotoxic
CMNPD14413	potent cytotoxin
CMNPD14420	mildly cytotoxic
CMNPD14421	mildly cytotoxic
CMNPD14422	mildly cytotoxic
CMNPD14423	mildly cytotoxic
CMNPD14431	moderate in vitro cytotoxicity towards tumour cell lines
CMNPD14432	mild inhibitor of acetylcholinesterase
CMNPD14451	antibacterial activity towards Gram-positive bacteria
CMNPD14452	antibacterial activity towards Gram-positive bacteria
CMNPD14456	activity in a number of biological assays | antiinflammatory | cytotoxicity | antiinfective
CMNPD14457	activity in a number of biological assays | antiinflammatory | cytotoxicity | antiinfective
CMNPD14464	activity in a number of biological assays | antiinflammatory | cytotoxicity | antiinfective
